"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ql-2",,,,"User:","qlio"
"Cmdline:","dstat -t -c -m --output w12c200-A.csv",,,,"Date:","08 Jan 2012 04:19:33 PST"

"system","total cpu usage",,,,,,"memory usage",,,
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free"
08-01 04:19:33,0.330,0.022,99.643,0.000,0.000,0.005,1679319040.0,321892352.0,1675083776.0,21649969152.0
08-01 04:19:34,92.500,5.083,0.167,0.0,0.0,2.250,1698103296.0,321892352.0,1675087872.0,21631180800.0
08-01 04:19:35,92.0,4.583,0.417,0.0,0.0,3.0,1685934080.0,321892352.0,1675087872.0,21643350016.0
08-01 04:19:36,93.167,3.917,0.167,0.0,0.0,2.750,1692532736.0,321892352.0,1675087872.0,21636751360.0
08-01 04:19:37,93.417,3.750,0.667,0.0,0.0,2.167,1688133632.0,321892352.0,1675087872.0,21641150464.0
08-01 04:19:38,95.250,2.583,0.0,0.0,0.0,2.167,1699008512.0,321892352.0,1675087872.0,21630275584.0
08-01 04:19:39,94.0,3.250,0.250,0.0,0.0,2.500,1702354944.0,321892352.0,1675087872.0,21626929152.0
08-01 04:19:40,94.667,3.500,0.0,0.0,0.0,1.833,1707859968.0,321892352.0,1675087872.0,21621424128.0
08-01 04:19:41,93.333,3.500,0.167,0.0,0.0,3.0,1708982272.0,321892352.0,1675087872.0,21620301824.0
08-01 04:19:42,92.333,4.500,0.0,0.0,0.0,3.167,1716375552.0,321892352.0,1675087872.0,21612908544.0
08-01 04:19:43,93.0,3.583,0.167,0.0,0.0,3.250,1713577984.0,321892352.0,1675087872.0,21615706112.0
08-01 04:19:44,94.167,3.750,0.167,0.0,0.0,1.917,1721913344.0,321892352.0,1675087872.0,21607370752.0
08-01 04:19:45,92.250,4.083,0.833,0.0,0.0,2.833,1751633920.0,321892352.0,1675087872.0,21577650176.0
08-01 04:19:46,90.583,4.917,1.667,0.0,0.0,2.833,1746268160.0,321892352.0,1675087872.0,21583015936.0
08-01 04:19:47,94.0,3.167,0.333,0.0,0.0,2.500,1675702272.0,321892352.0,1675087872.0,21653581824.0
08-01 04:19:48,92.583,4.667,0.083,0.0,0.0,2.667,1684295680.0,321892352.0,1675087872.0,21644988416.0
08-01 04:19:49,91.750,4.833,0.083,0.0,0.0,3.333,1697034240.0,321892352.0,1675087872.0,21632249856.0
08-01 04:19:50,92.833,5.250,0.0,0.0,0.0,1.917,1712508928.0,321892352.0,1675087872.0,21616775168.0
08-01 04:19:51,93.583,3.917,0.083,0.0,0.0,2.417,1735929856.0,321892352.0,1675087872.0,21593354240.0
08-01 04:19:52,92.083,4.250,1.0,0.0,0.0,2.667,1719111680.0,321892352.0,1675087872.0,21610172416.0
08-01 04:19:53,93.583,3.417,0.583,0.0,0.0,2.417,1720532992.0,321892352.0,1675087872.0,21608751104.0
08-01 04:19:54,93.583,3.750,0.083,0.0,0.0,2.583,1693360128.0,321892352.0,1675087872.0,21635923968.0
08-01 04:19:55,91.417,5.333,0.333,0.0,0.0,2.917,1729601536.0,321892352.0,1675087872.0,21599682560.0
08-01 04:19:56,91.250,5.167,0.083,0.0,0.0,3.500,1722343424.0,321892352.0,1675087872.0,21606940672.0
08-01 04:19:57,92.667,4.333,0.333,0.0,0.0,2.667,1741578240.0,321892352.0,1675087872.0,21587705856.0
08-01 04:19:58,91.417,5.583,0.083,0.0,0.0,2.917,1714089984.0,321892352.0,1675087872.0,21615194112.0
08-01 04:19:59,92.333,5.167,0.083,0.0,0.0,2.417,1717452800.0,321892352.0,1675087872.0,21611831296.0
08-01 04:20:00,93.333,4.250,0.167,0.0,0.0,2.250,1699753984.0,321892352.0,1675087872.0,21629530112.0
08-01 04:20:01,92.167,5.0,0.417,0.0,0.0,2.417,1710850048.0,321892352.0,1675087872.0,21618434048.0
08-01 04:20:02,92.500,4.667,0.0,0.0,0.0,2.833,1724661760.0,321892352.0,1675087872.0,21604622336.0
08-01 04:20:03,93.167,4.833,0.083,0.0,0.0,1.917,1723031552.0,321892352.0,1675087872.0,21606252544.0
08-01 04:20:04,92.0,4.583,1.0,0.0,0.0,2.417,1720766464.0,321892352.0,1675087872.0,21608517632.0
08-01 04:20:05,93.083,3.500,0.417,0.0,0.0,3.0,1758552064.0,321892352.0,1675087872.0,21570732032.0
08-01 04:20:06,92.667,4.0,0.500,0.0,0.0,2.833,1758793728.0,321892352.0,1675087872.0,21570490368.0
08-01 04:20:07,94.167,3.333,0.167,0.0,0.0,2.333,1748254720.0,321892352.0,1675087872.0,21581029376.0
08-01 04:20:08,93.0,4.0,0.083,0.0,0.0,2.917,1751183360.0,321892352.0,1675087872.0,21578100736.0
08-01 04:20:09,93.167,3.417,0.0,0.0,0.0,3.417,1757024256.0,321892352.0,1675087872.0,21572259840.0
08-01 04:20:10,93.417,4.083,0.250,0.0,0.0,2.250,1754976256.0,321892352.0,1675087872.0,21574307840.0
08-01 04:20:11,92.833,4.417,0.167,0.0,0.0,2.583,1750835200.0,321892352.0,1675091968.0,21578444800.0
08-01 04:20:12,92.333,4.833,0.0,0.0,0.0,2.833,1746964480.0,321892352.0,1675091968.0,21582315520.0
08-01 04:20:13,73.867,2.213,21.918,0.0,0.0,2.002,1756913664.0,321892352.0,1675091968.0,21572366336.0
08-01 04:20:14,0.0,0.0,100.0,0.0,0.0,0.0,1757040640.0,321892352.0,1675091968.0,21572239360.0
