"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ql-2",,,,"User:","qlio"
"Cmdline:","dstat -t -c -m --output w12c200.csv",,,,"Date:","08 Jan 2012 04:10:31 PST"

"system","total cpu usage",,,,,,"memory usage",,,
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free"
08-01 04:10:31,0.326,0.022,99.647,0.000,0.000,0.005,1503465472.0,321892352.0,1675034624.0,21825871872.0
08-01 04:10:32,98.333,0.917,0.0,0.0,0.0,0.750,1564393472.0,321892352.0,1675038720.0,21764939776.0
08-01 04:10:33,98.083,1.417,0.083,0.0,0.0,0.417,1573351424.0,321892352.0,1675038720.0,21755981824.0
08-01 04:10:34,98.083,1.417,0.0,0.0,0.0,0.500,1563820032.0,321892352.0,1675038720.0,21765513216.0
08-01 04:10:35,98.333,1.083,0.083,0.0,0.0,0.500,1587597312.0,321892352.0,1675038720.0,21741735936.0
08-01 04:10:36,98.0,1.083,0.0,0.0,0.0,0.917,1580376064.0,321892352.0,1675038720.0,21748957184.0
08-01 04:10:37,97.667,1.667,0.0,0.0,0.0,0.667,1595891712.0,321892352.0,1675038720.0,21733441536.0
08-01 04:10:38,97.750,1.583,0.0,0.0,0.0,0.667,1574567936.0,321892352.0,1675038720.0,21754765312.0
08-01 04:10:39,97.667,1.500,0.083,0.0,0.0,0.750,1593044992.0,321892352.0,1675038720.0,21736288256.0
08-01 04:10:40,97.667,1.833,0.0,0.0,0.0,0.500,1623797760.0,321892352.0,1675038720.0,21705535488.0
08-01 04:10:41,98.417,1.083,0.083,0.0,0.0,0.417,1606180864.0,321892352.0,1675038720.0,21723152384.0
08-01 04:10:42,97.667,1.667,0.083,0.0,0.0,0.583,1619361792.0,321892352.0,1675038720.0,21709971456.0
08-01 04:10:43,97.833,1.250,0.167,0.0,0.0,0.750,1616494592.0,321892352.0,1675038720.0,21712838656.0
08-01 04:10:44,97.583,1.667,0.0,0.0,0.0,0.750,1607122944.0,321892352.0,1675038720.0,21722210304.0
08-01 04:10:45,97.500,1.583,0.083,0.0,0.0,0.833,1616900096.0,321892352.0,1675038720.0,21712433152.0
08-01 04:10:46,98.500,1.0,0.083,0.0,0.0,0.417,1607307264.0,321892352.0,1675038720.0,21722025984.0
08-01 04:10:47,98.667,0.917,0.0,0.0,0.0,0.417,1623052288.0,321892352.0,1675038720.0,21706280960.0
08-01 04:10:48,98.500,1.0,0.0,0.0,0.0,0.500,1602973696.0,321892352.0,1675038720.0,21726359552.0
08-01 04:10:49,97.917,1.500,0.0,0.0,0.0,0.583,1626529792.0,321892352.0,1675038720.0,21702803456.0
08-01 04:10:50,98.0,1.333,0.0,0.0,0.0,0.667,1599262720.0,321892352.0,1675038720.0,21730070528.0
08-01 04:10:51,98.167,1.417,0.0,0.0,0.0,0.417,1618571264.0,321892352.0,1675038720.0,21710761984.0
08-01 04:10:52,98.833,0.917,0.0,0.0,0.0,0.250,1620889600.0,321892352.0,1675038720.0,21708443648.0
08-01 04:10:53,96.917,2.0,0.167,0.0,0.0,0.917,1605414912.0,321892352.0,1675038720.0,21723918336.0
08-01 04:10:54,97.0,1.917,0.0,0.0,0.0,1.083,1602416640.0,321892352.0,1675038720.0,21726916608.0
08-01 04:10:55,97.750,1.750,0.0,0.0,0.0,0.500,1612623872.0,321892352.0,1675038720.0,21716709376.0
08-01 04:10:56,98.250,1.333,0.083,0.0,0.0,0.333,1624363008.0,321892352.0,1675038720.0,21704970240.0
08-01 04:10:57,96.583,2.417,0.0,0.0,0.0,1.0,1655758848.0,321892352.0,1675038720.0,21673574400.0
08-01 04:10:58,97.667,1.333,0.0,0.0,0.0,1.0,1645158400.0,321892352.0,1675038720.0,21684174848.0
08-01 04:10:59,97.500,1.667,0.0,0.0,0.0,0.833,1604177920.0,321892352.0,1675038720.0,21725155328.0
08-01 04:11:00,98.500,1.167,0.0,0.0,0.0,0.333,1639534592.0,321892352.0,1675038720.0,21689798656.0
08-01 04:11:01,98.500,1.083,0.0,0.0,0.0,0.417,1645068288.0,321892352.0,1675038720.0,21684264960.0
08-01 04:11:02,97.417,1.833,0.083,0.0,0.0,0.667,1645182976.0,321892352.0,1675038720.0,21684150272.0
08-01 04:11:03,98.083,1.083,0.0,0.0,0.0,0.833,1652899840.0,321892352.0,1675038720.0,21676433408.0
08-01 04:11:04,98.333,1.500,0.0,0.0,0.0,0.167,1636864000.0,321892352.0,1675038720.0,21692469248.0
08-01 04:11:05,97.917,1.167,0.083,0.0,0.0,0.833,1660436480.0,321892352.0,1675038720.0,21668896768.0
08-01 04:11:06,98.500,1.0,0.0,0.0,0.0,0.500,1658900480.0,321892352.0,1675038720.0,21670432768.0
08-01 04:11:07,97.750,1.583,0.167,0.0,0.0,0.500,1642459136.0,321892352.0,1675038720.0,21686874112.0
08-01 04:11:08,98.500,1.0,0.0,0.0,0.0,0.500,1651658752.0,321892352.0,1675038720.0,21677674496.0
08-01 04:11:09,97.500,1.500,0.0,0.0,0.0,1.0,1650028544.0,321892352.0,1675038720.0,21679304704.0
08-01 04:11:10,98.333,1.333,0.0,0.0,0.0,0.333,1643638784.0,321892352.0,1675042816.0,21685690368.0
08-01 04:11:11,98.250,1.167,0.0,0.0,0.0,0.583,1652117504.0,321892352.0,1675042816.0,21677211648.0
08-01 04:11:12,98.083,1.583,0.0,0.0,0.0,0.333,1656143872.0,321892352.0,1675042816.0,21673185280.0
08-01 04:11:13,97.833,1.500,0.0,0.0,0.0,0.667,1658535936.0,321892352.0,1675042816.0,21670793216.0
08-01 04:11:14,97.667,1.333,0.0,0.0,0.0,1.0,1641492480.0,321892352.0,1675042816.0,21687836672.0
08-01 04:11:15,97.833,1.583,0.0,0.0,0.0,0.583,1642725376.0,321892352.0,1675042816.0,21686603776.0
08-01 04:11:16,97.500,1.833,0.0,0.0,0.0,0.667,1670291456.0,321892352.0,1675042816.0,21659037696.0
08-01 04:11:17,98.0,1.333,0.083,0.0,0.0,0.583,1653493760.0,321892352.0,1675042816.0,21675835392.0
08-01 04:11:18,98.167,1.167,0.0,0.0,0.0,0.667,1638252544.0,321892352.0,1675042816.0,21691076608.0
08-01 04:11:19,97.417,1.417,0.167,0.0,0.0,1.0,1635192832.0,321892352.0,1675042816.0,21694136320.0
08-01 04:11:20,97.250,2.167,0.083,0.0,0.0,0.500,1668964352.0,321892352.0,1675042816.0,21660364800.0
08-01 04:11:21,97.833,1.417,0.0,0.0,0.0,0.750,1686450176.0,321892352.0,1675042816.0,21642878976.0
08-01 04:11:22,98.167,1.250,0.0,0.0,0.0,0.583,1688604672.0,321892352.0,1675042816.0,21640724480.0
08-01 04:11:23,98.083,1.417,0.0,0.0,0.0,0.500,1708867584.0,321892352.0,1675042816.0,21620461568.0
08-01 04:11:24,98.0,1.167,0.0,0.0,0.0,0.833,1698197504.0,321892352.0,1675042816.0,21631131648.0
08-01 04:11:25,98.417,1.083,0.0,0.0,0.0,0.500,1708056576.0,321892352.0,1675042816.0,21621272576.0
08-01 04:11:26,97.333,1.917,0.0,0.0,0.0,0.750,1729224704.0,321892352.0,1675042816.0,21600104448.0
08-01 04:11:27,97.583,1.917,0.0,0.0,0.0,0.500,1727225856.0,321892352.0,1675042816.0,21602103296.0
08-01 04:11:28,98.0,1.250,0.083,0.0,0.0,0.667,1724289024.0,321892352.0,1675042816.0,21605040128.0
08-01 04:11:29,98.083,1.500,0.0,0.0,0.0,0.417,1718030336.0,321892352.0,1675042816.0,21611298816.0
08-01 04:11:30,97.667,1.833,0.0,0.0,0.0,0.500,1693900800.0,321892352.0,1675042816.0,21635428352.0
08-01 04:11:31,97.917,1.333,0.0,0.0,0.0,0.750,1720528896.0,321892352.0,1675042816.0,21608800256.0
08-01 04:11:32,98.417,1.083,0.0,0.0,0.0,0.500,1715048448.0,321892352.0,1675042816.0,21614280704.0
08-01 04:11:33,98.583,0.917,0.0,0.0,0.0,0.500,1729867776.0,321892352.0,1675042816.0,21599461376.0
08-01 04:11:34,97.500,2.0,0.0,0.0,0.0,0.500,1755701248.0,321892352.0,1675042816.0,21573627904.0
08-01 04:11:35,98.250,1.417,0.0,0.0,0.0,0.333,1754800128.0,321892352.0,1675042816.0,21574529024.0
08-01 04:11:36,98.250,1.250,0.0,0.0,0.0,0.500,1739292672.0,321892352.0,1675042816.0,21590036480.0
08-01 04:11:37,98.0,1.500,0.0,0.0,0.0,0.500,1728913408.0,321892352.0,1675042816.0,21600415744.0
08-01 04:11:38,97.750,1.417,0.0,0.0,0.0,0.833,1756184576.0,321892352.0,1675042816.0,21573144576.0
08-01 04:11:39,97.750,1.583,0.083,0.0,0.0,0.583,1750609920.0,321892352.0,1675042816.0,21578719232.0
08-01 04:11:40,97.917,1.417,0.0,0.0,0.0,0.667,1754865664.0,321892352.0,1675042816.0,21574463488.0
08-01 04:11:41,97.417,2.0,0.0,0.0,0.0,0.583,1763639296.0,321892352.0,1675042816.0,21565689856.0
