"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ql-2",,,,"User:","qlio"
"Cmdline:","dstat -t -c -m --output w12c100.csv",,,,"Date:","08 Jan 2012 04:02:09 PST"

"system","total cpu usage",,,,,,"memory usage",,,
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free"
08-01 04:02:09,0.322,0.022,99.650,0.000,0.000,0.005,1773613056.0,321892352.0,1675055104.0,21555703808.0
08-01 04:02:10,97.917,1.500,0.0,0.0,0.0,0.583,1745051648.0,321892352.0,1675059200.0,21584261120.0
08-01 04:02:11,97.917,1.167,0.0,0.0,0.0,0.917,1735229440.0,321892352.0,1675059200.0,21594083328.0
08-01 04:02:12,98.667,0.833,0.0,0.0,0.0,0.500,1721638912.0,321892352.0,1675059200.0,21607673856.0
08-01 04:02:13,97.833,1.083,0.083,0.0,0.0,1.0,1719697408.0,321892352.0,1675059200.0,21609615360.0
08-01 04:02:14,96.750,1.917,0.250,0.0,0.0,1.083,1714978816.0,321892352.0,1675059200.0,21614333952.0
08-01 04:02:15,98.0,1.500,0.0,0.0,0.0,0.500,1738280960.0,321892352.0,1675059200.0,21591031808.0
08-01 04:02:16,98.0,1.167,0.083,0.0,0.0,0.750,1711992832.0,321892352.0,1675059200.0,21617319936.0
08-01 04:02:17,98.167,1.0,0.0,0.0,0.0,0.833,1723654144.0,321892352.0,1675059200.0,21605658624.0
08-01 04:02:18,98.083,1.250,0.0,0.0,0.0,0.667,1709436928.0,321892352.0,1675059200.0,21619875840.0
08-01 04:02:19,97.417,1.833,0.167,0.0,0.0,0.583,1718059008.0,321892352.0,1675059200.0,21611253760.0
08-01 04:02:20,97.750,1.583,0.083,0.0,0.0,0.583,1720537088.0,321892352.0,1675059200.0,21608775680.0
08-01 04:02:21,98.417,0.917,0.0,0.0,0.0,0.667,1732104192.0,321892352.0,1675059200.0,21597208576.0
